a,1=工
xoxh,1=鬻
xp,1=综
xpg,1=绽
xpn,1=绾
xpr,1=缤
xpw,1=缩
xq,1=约
xqa,1=纸
xqc,1=绝
xqi,1=弥
xqj,1=绚
xqv,1=绉
xr,1=绵
xrc,1=弧
xry,1=缴
xs,1=缚
xsfi,1=缥
xsh,1=缃
xt,1=乡
xta,1=张
xtb,1=绣
xtd,1=疑
xtdg,1=肄
xtdm,1=颖
xtdp,1=缝
xtf,1=纤
xtfm,1=缵
xtg,1=绛
xtgf,1=缍
xtgs,1=绗
xth,1=缎
xthk,1=绺
xtk,1=络
xtn,1=匕
xtnn,1=纥
xtnp,1=缒
xts,1=绦
xtu,1=终
xtw,1=飨
xu,1=弱
xug,1=绊
xugb,1=绻
xuj,1=弹
xul,1=缯
xur,1=绞
xuu,1=缮
xuv,1=缣
xuw,1=缢
xuxt,1=绨
xv,1=绍
xvi,1=绿
xvj,1=缫
xvl,1=缁
xvy,1=纫
xvyy,1=纨
xw,1=给
xwf,1=绘
xwgr,1=缏
xwn,1=缑
xwv,1=纷
xww,1=纵
xwx,1=纶
xwy,1=维
xx,1=比
xxa,1=畿
xxe,1=缘
xxf,1=毕
xxg,1=丝
xxgg,1=鸶
xxgx,1=毙
xxj,1=绋
xxnt,1=毖
xxr,1=皆
xxtx,1=彘
xxx,1=纰
xxxx,1=幺
xy,1=纺
xyc,1=统
xym,1=缟
xyn,1=编
xyr,1=缡
xyu,1=缔
xyx,1=弦
xyy,1=纹
y,1=主
ya,1=试
yaa,1=诫
yad,1=诺
yag,1=讧
yagg,1=诓
yah,1=讶
yaj,1=谟
yak,1=谨
yan,1=谍
yang,1=讵
yaq,1=谮
yar,1=讴
yaw,1=诬
yay,1=谎
yb,1=享
ybb,1=郭
ybc,1=诹
ybh,1=邡
ybj,1=亨
ybm,1=诎
ybo,1=烹
ybq,1=鹑
ybt,1=敦
ybtn,1=憝
ybv,1=熟
ybvf,1=塾
ybvy,1=孰
yc,1=充
yca,1=弃
yce,1=育
yceh,1=诵
ycg,1=译
yck,1=诒
ycn,1=袤
ycnk,1=谲
yct,1=诶
yd,1=诚
ydg,1=诂
ydm,1=斋
ydo,1=诙
ydw,1=谌
ye,1=衣
yee,1=裒
yeg,1=诅
yegc,1=谖
yej,1=蠃
yem,1=赢
yemk,1=裔
yet,1=谣
yeu,1=哀
yeuy,1=羸
yev,1=嬴
yew,1=谀
yf,1=计
yff,1=诗
yffg,1=诖
yfh,1=讦
yfj,1=讲
yfk,1=诘
yfm,1=谳
yfn,1=读
yfnh,1=讳
yfs,1=谋
yfsy,1=诔
yft,1=诸
yfy,1=讨
yg,1=证
yga,1=斌
yge,1=请
ygey,1=诼
ygk,1=语
ygu,1=评
yh,1=让
yha,1=谑
yhd,1=诽
yhu,1=卞
yhy,1=讣
yi,1=就
yidg,1=鹫
yie,1=诮
yip,1=谠
yiu,1=京
yj,1=刘
yjhg,1=齑
yjj,1=齐
yjjh,1=剂
yjl,1=谩
yjq,1=谒
yjs,1=课
yjse,1=裹
yk,1=训
ykf,1=吝
ykg,1=误
ykge,1=衰
ykhe,1=衷
ykhp,1=谴
ykk,1=襄
ykkn,1=谔
ykky,1=瓤
ykw,1=识
yl,1=亩
yle,1=谓
ylk,1=颤
ylki,1=禀
ylw,1=谡
ym,1=市
ymf,1=调
ymh,1=讪
ymk,1=高
ymkc,1=敲
ymw,1=讷
yn,1=记
ynb,1=邙
ynd,1=戾
yne,1=户
yned,1=肩
ynef,1=肓
yneg,1=望
ynf,1=讯
yng,1=诩
yngk,1=词
ynh,1=盲
ynhd,1=扉
yni,1=永
ynij,1=昶
ynk,1=启
ynkc,1=扈
ynm,1=遍
ynma,1=扁
ynmk,1=扃
ynmn,1=翩
ynna,1=氓
ynnd,1=扇
ynnu,1=忘
ynt,1=刻
ynte,1=劾
yntg,1=肇
ynti,1=綮
yntl,1=谧
yntm,1=颏
yntw,1=亥
ynu,1=戽
ynv,1=亡
ynvf,1=妄
ynw,1=雇
ynwe,1=谬
ynwy,1=诀
yny,1=房
yo,1=亦
yoa,1=弈
yob,1=孪
yoc,1=变
yod,1=奕
yoj,1=蛮
yom,1=峦
yomw,1=脔
yon,1=恋
yoo,1=谈
yooc,1=燮
yop,1=迹
yopy,1=谜
yoq,1=銮
yoqg,1=鸾
yor,1=挛
yos,1=栾
yov,1=娈
yox,1=弯
yp,1=亮
ype,1=毫
ypeg,1=谊
ypg,1=豪
ypk,1=膏
ypl,1=诨
yps,1=亭
ypt,1=诧
ypta,1=亳
yq,1=询
yqa,1=诋
yqd,1=诡
yqdy,1=谵
yqe,1=谄
yqk,1=谗
yqt,1=诳
yqv,1=诌
yqvh,1=诤
yr,1=义
yrb,1=离
yrg,1=诟
yrv,1=亵
yry,1=诉
ys,1=订
ysj,1=谭
ysk,1=诃
ysl,1=谏
yt,1=放
ytb,1=施
ytbt,1=诱
ytd,1=话
ytdk,1=旖
ytdw,1=旗
yte,1=旅
ytee,1=膂
yten,1=旄
ytf,1=许
ytfk,1=诰
ytfq,1=诜
ytfy,1=诛
ytg,1=旆
yth,1=诞
ythf,1=诈
ytm,1=谢
ytmy,1=旃
ytn,1=讫
ytnh,1=旋
ytnx,1=旎
ytt,1=族
yttg,1=旌
ytv,1=诿
ytx,1=诲
ytyh,1=州
ytyk,1=旒
yu,1=详
yue,1=谫
yuj,1=谙
yuk,1=说
yum,1=商
yuo,1=谱
yup,1=旁
yuph,1=帝
yupk,1=啻
yuq,1=谘
yus,1=谰
yusl,1=斓
yut,1=谚
yuv,1=谦
yuw,1=谥
yv,1=良
yvb,1=郎
yve,1=朗
yvk,1=诏
yw,1=认
ywb,1=亢
ywc,1=设
ywcy,1=讼
ywd,1=颃
ywe,1=诊
ywg,1=诠
ywgj,1=谕
ywk,1=褒
ywn,1=讥
ywr,1=讽
ywt,1=夜
ywu,1=於
yww,1=卒
ywwg,1=谶
ywx,1=论
ywxn,1=讹
ywyg,1=谁
ywyn,1=谂
ywyo,1=谯
yx,1=率
yxi,1=紊
yxj,1=诣
yxl,1=畜
yxt,1=雍
yxtf,1=壅
yxtv,1=饔
yxu,1=玄
yxx,1=谐
yy,1=方
yyb,1=谆
yyg,1=亠
yygy,1=文
yyi,1=谅
yyl,1=丶
yyn,1=讠
yyna,1=谝
yynw,1=该
yyr,1=议
yyt,1=访
yyu,1=谤
yyud,1=谪
yyuh,1=谛
yyw,1=谇
yyy,1=言
